Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,31,15.0,home,120199.19920091327,43872707.70833334,77086.9194063927,28136725.583333336,17499.862250861956,6387449.721564613,7771.617183314575,2836640.27190982,802.5068493150685,292915.0
VIPV50_Wp1000,31,15.0,public,77617.75479452052,28330480.49999999,26709.733333333337,9749052.666666668,32382.899366524434,11819758.268781418,5887.799884822625,2149046.9579602582,511.2671232876712,186612.5
VIPV50_Wp1000,31,15.0,work,88085.2334474886,32151110.20833334,4456.923744292237,1626777.1666666665,2586.4970731453072,944071.4316980371,646.6242682863268,236017.85792450927,13.082191780821917,4775.0
VIPV50_Wp1000,32,15.5,home,137100.85878995433,50041813.458333336,87314.69189497721,31869862.54166668,19815.522983966715,7232665.889147852,8791.199654532875,3208787.873904499,1056.3424657534247,385565.0
VIPV50_Wp1000,32,15.5,public,75160.06746575344,27433424.625000007,26795.01050228311,9780178.833333334,32107.98286908968,11719413.747217733,5837.815067107216,2130802.499494134,514.3835616438356,187750.0
VIPV50_Wp1000,32,15.5,work,77580.03127853882,28316711.416666668,3197.0478310502285,1166922.4583333335,1891.16121187441,690273.8423341596,472.7903029686025,172568.4605835399,13.157534246575343,4802.5
VIPV50_Wp1000,33,16.0,home,160076.69737442926,58427994.54166668,101082.8039954338,36895223.458333336,25942.533379426273,9469024.68349059,10106.08445959495,3688720.827752156,1102.1301369863013,402277.5
VIPV50_Wp1000,33,16.0,public,74265.4480593607,27106888.541666657,28497.90251141553,10401734.416666668,33175.38764906499,12109016.491908722,6031.888663466361,2201639.362165222,571.0342465753424,208427.5
VIPV50_Wp1000,33,16.0,work,63538.76312785388,23191648.541666668,2435.0783105022833,888803.5833333335,1405.215482217522,512903.65100939554,351.3038705543805,128225.91275234889,19.410958904109588,7085.0
VIPV50_Wp1000,34,16.5,home,187400.0833333334,68401030.41666669,116528.70159817341,42532976.0833333,29811.330221442644,10881135.530826565,11608.491524899766,4237099.406588415,1300.2123287671234,474577.5
