vehicle_id,pv_wp,pv_area_m2,pv_eff
5905123,400.0,2.0,0.2
5907797,400.0,2.0,0.2
5908847,400.0,2.0,0.2
5914140,400.0,2.0,0.2
5915678,400.0,2.0,0.2
5934086,400.0,2.0,0.2
7286338,400.0,2.0,0.2
7295598,400.0,2.0,0.2
7295917,400.0,2.0,0.2
7299186,400.0,2.0,0.2
7300259,400.0,2.0,0.2
7300962,400.0,2.0,0.2
7301082,400.0,2.0,0.2
7302393,400.0,2.0,0.2
7302703,400.0,2.0,0.2
7303430,400.0,2.0,0.2
7308741,400.0,2.0,0.2
7309004,400.0,2.0,0.2
7309650,400.0,2.0,0.2
7312581,400.0,2.0,0.2
7313329,400.0,2.0,0.2
7314224,400.0,2.0,0.2
7316665,400.0,2.0,0.2
7316759,400.0,2.0,0.2
7320021,400.0,2.0,0.2
7320421,400.0,2.0,0.2
7320517,400.0,2.0,0.2
7323025,400.0,2.0,0.2
7325876,400.0,2.0,0.2
7326427,400.0,2.0,0.2
7337868,400.0,2.0,0.2
7351598,400.0,2.0,0.2
7352249,400.0,2.0,0.2
7353753,400.0,2.0,0.2
7358415,400.0,2.0,0.2
7358660,400.0,2.0,0.2
7358855,400.0,2.0,0.2
7361686,400.0,2.0,0.2
7363045,400.0,2.0,0.2
7364508,400.0,2.0,0.2
7365027,400.0,2.0,0.2
7365302,400.0,2.0,0.2
7368354,400.0,2.0,0.2
7369383,400.0,2.0,0.2
7370761,400.0,2.0,0.2
7372284,400.0,2.0,0.2
7372730,400.0,2.0,0.2
7375400,400.0,2.0,0.2
7375798,400.0,2.0,0.2
7376589,400.0,2.0,0.2
7379543,400.0,2.0,0.2
7380826,400.0,2.0,0.2
7405454,400.0,2.0,0.2
7405587,400.0,2.0,0.2
7407159,400.0,2.0,0.2
7411363,400.0,2.0,0.2
7411398,400.0,2.0,0.2
7411921,400.0,2.0,0.2
7414145,400.0,2.0,0.2
7414392,400.0,2.0,0.2
7416337,400.0,2.0,0.2
7416734,400.0,2.0,0.2
7419900,400.0,2.0,0.2
7420275,400.0,2.0,0.2
7420298,400.0,2.0,0.2
7420576,400.0,2.0,0.2
7422630,400.0,2.0,0.2
7424417,400.0,2.0,0.2
7425130,400.0,2.0,0.2
7449407,400.0,2.0,0.2
7449665,400.0,2.0,0.2
7453345,400.0,2.0,0.2
7456745,400.0,2.0,0.2
7457316,400.0,2.0,0.2
7467082,400.0,2.0,0.2
7468691,400.0,2.0,0.2
7478971,400.0,2.0,0.2
7485292,400.0,2.0,0.2
7486229,400.0,2.0,0.2
7486555,400.0,2.0,0.2
7491678,400.0,2.0,0.2
7491719,400.0,2.0,0.2
7494705,400.0,2.0,0.2
7495556,400.0,2.0,0.2
7502501,400.0,2.0,0.2
7506596,400.0,2.0,0.2
7507349,400.0,2.0,0.2
7507443,400.0,2.0,0.2
7508758,400.0,2.0,0.2
7515264,400.0,2.0,0.2
7518300,400.0,2.0,0.2
7525839,400.0,2.0,0.2
7525984,400.0,2.0,0.2
7526099,400.0,2.0,0.2
7615216,400.0,2.0,0.2
7615950,400.0,2.0,0.2
8120031,400.0,2.0,0.2
8169177,400.0,2.0,0.2
8170504,400.0,2.0,0.2
8253805,400.0,2.0,0.2
8253956,400.0,2.0,0.2
8273608,400.0,2.0,0.2
9396074,400.0,2.0,0.2
9402684,400.0,2.0,0.2
9405284,400.0,2.0,0.2
9406692,400.0,2.0,0.2
9407022,400.0,2.0,0.2
9407968,400.0,2.0,0.2
9408038,400.0,2.0,0.2
9411662,400.0,2.0,0.2
9412406,400.0,2.0,0.2
9414251,400.0,2.0,0.2
9420484,400.0,2.0,0.2
9423905,400.0,2.0,0.2
9430738,400.0,2.0,0.2
9431792,400.0,2.0,0.2
9447277,400.0,2.0,0.2
9450541,400.0,2.0,0.2
9451902,400.0,2.0,0.2
9452791,400.0,2.0,0.2
9454731,400.0,2.0,0.2
9455793,400.0,2.0,0.2
9457767,400.0,2.0,0.2
9460181,400.0,2.0,0.2
9460311,400.0,2.0,0.2
9480047,400.0,2.0,0.2
9480048,400.0,2.0,0.2
9492099,400.0,2.0,0.2
9494196,400.0,2.0,0.2
9504313,400.0,2.0,0.2
9505250,400.0,2.0,0.2
9510223,400.0,2.0,0.2
9510885,400.0,2.0,0.2
9513338,400.0,2.0,0.2
9518143,400.0,2.0,0.2
9521384,400.0,2.0,0.2
9523368,400.0,2.0,0.2
9523870,400.0,2.0,0.2
9535294,400.0,2.0,0.2
9537670,400.0,2.0,0.2
9537952,400.0,2.0,0.2
9538939,400.0,2.0,0.2
9540328,400.0,2.0,0.2
9542392,400.0,2.0,0.2
9542839,400.0,2.0,0.2
9543495,400.0,2.0,0.2
9545089,400.0,2.0,0.2
9553937,400.0,2.0,0.2
9556173,400.0,2.0,0.2
9557721,400.0,2.0,0.2
9570639,400.0,2.0,0.2
