TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
28,public,13.5,33113.416666666664,38333.69815117752,6969.763300214096,noVIPV,AUTUMN
29,home,14.0,66892.04166666667,15241.401097687487,6773.956043416661,noVIPV,AUTUMN
29,work,14.0,8333.541666666666,4449.643264790445,1112.4108161976112,noVIPV,AUTUMN
29,public,14.0,30349.416666666668,35131.92516446152,6387.622757174823,noVIPV,AUTUMN
30,home,14.5,73462.04166666667,16575.0658987501,7366.695955000045,noVIPV,AUTUMN
30,work,14.5,7139.125,3890.158018603204,972.539504650801,noVIPV,AUTUMN
30,public,14.5,30686.916666666668,35472.74754824434,6449.590463317153,noVIPV,AUTUMN
31,home,15.0,81482.95833333333,20473.341806087115,8189.336722434846,noVIPV,AUTUMN
31,work,15.0,5999.291666666667,3335.9640579543143,833.9910144885786,noVIPV,AUTUMN
31,public,15.0,29447.083333333332,34284.57769011185,6233.559580020336,noVIPV,AUTUMN
32,home,15.5,92162.04166666667,23224.035784784108,9289.614313913642,noVIPV,AUTUMN
32,work,15.5,4271.958333333333,2436.7836103775926,609.1959025943981,noVIPV,AUTUMN
32,public,15.5,28202.541666666668,32252.089462364784,5864.016265884506,noVIPV,AUTUMN
33,home,16.0,108313.95833333333,27159.84191534022,10863.936766136088,noVIPV,AUTUMN
33,work,16.0,3028.3333333333335,1662.5369143452922,415.63422858632305,noVIPV,AUTUMN
33,public,16.0,30096.791666666668,34144.389923971714,6208.070895267585,noVIPV,AUTUMN
34,home,16.5,130417.91666666667,32568.063835640234,13027.225534256093,noVIPV,AUTUMN
34,work,16.5,2083.1666666666665,1166.1507895237,291.537697380925,noVIPV,AUTUMN
34,public,16.5,33277.666666666664,37922.9477824664,6895.081414993891,noVIPV,AUTUMN
35,home,17.0,150479.20833333334,37482.772010348,14993.108804139201,noVIPV,AUTUMN
35,work,17.0,1325.875,744.3546632513438,186.08866581283596,noVIPV,AUTUMN
35,public,17.0,33946.875,39690.95302822601,7216.536914222911,noVIPV,AUTUMN
36,home,17.5,162094.70833333334,40348.839456264155,16139.535782505662,noVIPV,AUTUMN
36,work,17.5,939.75,551.9855624340598,137.99639060851496,noVIPV,AUTUMN
36,public,17.5,32032.5,38118.99558548324,6930.726470087861,noVIPV,AUTUMN
37,home,18.0,170533.95833333334,42658.283645994474,17063.313458397788,noVIPV,AUTUMN
37,work,18.0,643.2083333333333,375.60346393508974,93.90086598377243,noVIPV,AUTUMN
37,public,18.0,30299.333333333332,36002.79780838191,6545.96323788762,noVIPV,AUTUMN
38,home,18.5,170015.25,42875.306264916944,17150.122505966778,noVIPV,AUTUMN
38,work,18.5,674.5,364.8258350198544,91.2064587549636,noVIPV,AUTUMN
38,public,18.5,27182.458333333332,32041.784174875713,5825.778940886493,noVIPV,AUTUMN
39,home,19.0,161856.08333333334,41075.33561619782,16430.13424647913,noVIPV,AUTUMN
39,work,19.0,651.2916666666666,361.043619194553,90.26090479863825,noVIPV,AUTUMN
39,public,19.0,23526.791666666668,28464.959756127126,5175.44722838675,noVIPV,AUTUMN
40,home,19.5,150919.25,38500.93321145016,15400.373284580064,noVIPV,AUTUMN
40,work,19.5,467.75,274.36206139817864,68.59051534954466,noVIPV,AUTUMN
40,public,19.5,19474.958333333332,23356.022776221536,4246.549595676643,noVIPV,AUTUMN
41,home,20.0,137212.125,35092.1930313737,14036.87721254948,noVIPV,AUTUMN
41,work,20.0,298.2916666666667,176.39295335971508,44.09823833992877,noVIPV,AUTUMN
41,public,20.0,14762.833333333334,17367.325525945183,3157.695550171851,noVIPV,AUTUMN
42,home,20.5,123092.25,31607.022451505003,12642.808980602002,noVIPV,AUTUMN
42,work,20.5,37.041666666666664,22.964982778415614,5.741245694603903,noVIPV,AUTUMN
42,public,20.5,10829.458333333334,13139.92245831813,2389.0768106032965,noVIPV,AUTUMN
43,home,21.0,109815.875,22652.239499137253,11326.119749568627,noVIPV,AUTUMN
43,work,21.0,0.0,0.0,0.0,noVIPV,AUTUMN
43,public,21.0,8041.541666666667,10327.204229244173,1877.6734962262133,noVIPV,AUTUMN
44,home,21.5,96037.0,19893.471444893166,9946.735722446583,noVIPV,AUTUMN
44,work,21.5,62.375,15.116122517670817,3.7790306294177043,noVIPV,AUTUMN
44,public,21.5,6014.208333333333,7533.93415637905,1369.8062102507365,noVIPV,AUTUMN
45,home,22.0,85272.66666666667,17716.93405244424,8858.46702622212,noVIPV,AUTUMN
45,work,22.0,61.416666666666664,14.883877482329183,3.7209693705822957,noVIPV,AUTUMN
45,public,22.0,5018.75,6204.339800888791,1128.06178197978,noVIPV,AUTUMN
46,home,22.5,73025.75,15285.692135146963,7642.846067573481,noVIPV,AUTUMN
46,work,22.5,0.0,0.0,0.0,noVIPV,AUTUMN
46,public,22.5,3767.0416666666665,4519.667039579199,821.7576435598544,noVIPV,AUTUMN
47,home,23.0,62392.791666666664,13210.220951797686,6605.110475898843,noVIPV,AUTUMN
47,work,23.0,0.0,0.0,0.0,noVIPV,AUTUMN
47,public,23.0,2303.4583333333335,2783.807253768332,506.14677341242395,noVIPV,AUTUMN
48,home,23.5,55063.458333333336,11728.740937643472,5864.370468821736,noVIPV,AUTUMN
48,work,23.5,0.0,0.0,0.0,noVIPV,AUTUMN
48,public,23.5,1536.375,2086.697813480374,379.3996024509771,noVIPV,AUTUMN
1,home,0.0,130812.70833333333,26537.256465137598,13268.628232568799,noVIPV,WINTER
1,work,0.0,25.291666666666668,6.387232549982462,1.5968081374956156,noVIPV,WINTER
1,public,0.0,15456.75,18818.3072209168,3421.5104038030545,noVIPV,WINTER
2,home,0.5,125293.45833333333,25582.062172771744,12791.031086385872,noVIPV,WINTER
2,work,0.5,75.0,18.940722553490005,4.735180638372501,noVIPV,WINTER
2,public,0.5,11626.333333333334,14290.134455650083,2598.2062646636514,noVIPV,WINTER
3,home,1.0,112318.91666666667,23173.828159653516,11586.914079826756,noVIPV,WINTER
3,work,1.0,18.5,4.6720448965275345,1.1680112241318836,noVIPV,WINTER
3,public,1.0,7491.666666666667,9237.898777027827,1679.617959459605,noVIPV,WINTER
4,home,1.5,96247.79166666667,20061.588892490316,10030.794446245158,noVIPV,WINTER
