TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
19,work,9.0,67.0,167.5,noVIPV,AUTUMN
19,public,9.0,168.0,420.0,noVIPV,AUTUMN
20,home,9.5,79.0,197.5,noVIPV,AUTUMN
20,work,9.5,43.0,107.5,noVIPV,AUTUMN
20,public,9.5,171.0,427.5,noVIPV,AUTUMN
21,home,10.0,107.0,267.5,noVIPV,AUTUMN
21,work,10.0,40.0,100.0,noVIPV,AUTUMN
21,public,10.0,177.0,442.5,noVIPV,AUTUMN
22,home,10.5,112.0,280.0,noVIPV,AUTUMN
22,work,10.5,37.0,92.5,noVIPV,AUTUMN
22,public,10.5,220.0,550.0,noVIPV,AUTUMN
23,home,11.0,192.0,480.0,noVIPV,AUTUMN
23,work,11.0,25.0,62.5,noVIPV,AUTUMN
23,public,11.0,221.0,552.5,noVIPV,AUTUMN
24,home,11.5,209.0,522.5,noVIPV,AUTUMN
24,work,11.5,42.0,105.0,noVIPV,AUTUMN
24,public,11.5,275.0,687.5,noVIPV,AUTUMN
25,home,12.0,260.0,650.0,noVIPV,AUTUMN
25,work,12.0,43.0,107.5,noVIPV,AUTUMN
25,public,12.0,239.0,597.5,noVIPV,AUTUMN
26,home,12.5,242.0,605.0,noVIPV,AUTUMN
26,work,12.5,45.0,112.5,noVIPV,AUTUMN
26,public,12.5,249.0,622.5,noVIPV,AUTUMN
27,home,13.0,262.0,655.0,noVIPV,AUTUMN
27,work,13.0,43.0,107.5,noVIPV,AUTUMN
27,public,13.0,229.0,572.5,noVIPV,AUTUMN
28,home,13.5,260.0,650.0,noVIPV,AUTUMN
28,work,13.5,26.0,65.0,noVIPV,AUTUMN
28,public,13.5,226.0,565.0,noVIPV,AUTUMN
29,home,14.0,329.0,822.5,noVIPV,AUTUMN
29,work,14.0,29.0,72.5,noVIPV,AUTUMN
29,public,14.0,229.0,572.5,noVIPV,AUTUMN
30,home,14.5,297.0,742.5,noVIPV,AUTUMN
30,work,14.5,17.0,42.5,noVIPV,AUTUMN
30,public,14.5,209.0,522.5,noVIPV,AUTUMN
31,home,15.0,346.0,865.0,noVIPV,AUTUMN
31,work,15.0,9.0,22.5,noVIPV,AUTUMN
31,public,15.0,193.0,482.5,noVIPV,AUTUMN
32,home,15.5,418.0,1045.0,noVIPV,AUTUMN
32,work,15.5,1.0,2.5,noVIPV,AUTUMN
32,public,15.5,219.0,547.5,noVIPV,AUTUMN
33,home,16.0,493.0,1232.5,noVIPV,AUTUMN
33,work,16.0,10.0,25.0,noVIPV,AUTUMN
33,public,16.0,240.0,600.0,noVIPV,AUTUMN
34,home,16.5,592.0,1480.0,noVIPV,AUTUMN
34,work,16.5,5.0,12.5,noVIPV,AUTUMN
34,public,16.5,262.0,655.0,noVIPV,AUTUMN
35,home,17.0,550.0,1375.0,noVIPV,AUTUMN
35,work,17.0,3.0,7.5,noVIPV,AUTUMN
35,public,17.0,220.0,550.0,noVIPV,AUTUMN
36,home,17.5,479.0,1197.5,noVIPV,AUTUMN
36,work,17.5,3.0,7.5,noVIPV,AUTUMN
36,public,17.5,207.0,517.5,noVIPV,AUTUMN
37,home,18.0,485.0,1212.5,noVIPV,AUTUMN
37,work,18.0,4.0,10.0,noVIPV,AUTUMN
37,public,18.0,177.0,442.5,noVIPV,AUTUMN
38,home,18.5,315.0,787.5,noVIPV,AUTUMN
38,work,18.5,1.0,2.5,noVIPV,AUTUMN
38,public,18.5,152.0,380.0,noVIPV,AUTUMN
39,home,19.0,269.0,672.5,noVIPV,AUTUMN
39,work,19.0,3.0,7.5,noVIPV,AUTUMN
39,public,19.0,103.0,257.5,noVIPV,AUTUMN
40,home,19.5,243.0,607.5,noVIPV,AUTUMN
40,work,19.5,0.0,0.0,noVIPV,AUTUMN
40,public,19.5,82.0,205.0,noVIPV,AUTUMN
41,home,20.0,162.0,405.0,noVIPV,AUTUMN
41,work,20.0,0.0,0.0,noVIPV,AUTUMN
41,public,20.0,54.0,135.0,noVIPV,AUTUMN
42,home,20.5,146.0,365.0,noVIPV,AUTUMN
42,work,20.5,0.0,0.0,noVIPV,AUTUMN
42,public,20.5,42.0,105.0,noVIPV,AUTUMN
43,home,21.0,123.0,307.5,noVIPV,AUTUMN
43,work,21.0,0.0,0.0,noVIPV,AUTUMN
43,public,21.0,34.0,85.0,noVIPV,AUTUMN
44,home,21.5,109.0,272.5,noVIPV,AUTUMN
44,work,21.5,1.0,2.5,noVIPV,AUTUMN
44,public,21.5,17.0,42.5,noVIPV,AUTUMN
45,home,22.0,115.0,287.5,noVIPV,AUTUMN
45,work,22.0,0.0,0.0,noVIPV,AUTUMN
45,public,22.0,13.0,32.5,noVIPV,AUTUMN
46,home,22.5,62.0,155.0,noVIPV,AUTUMN
46,work,22.5,0.0,0.0,noVIPV,AUTUMN
46,public,22.5,8.0,20.0,noVIPV,AUTUMN
47,home,23.0,78.0,195.0,noVIPV,AUTUMN
47,work,23.0,0.0,0.0,noVIPV,AUTUMN
47,public,23.0,4.0,10.0,noVIPV,AUTUMN
48,home,23.5,69.0,172.5,noVIPV,AUTUMN
48,work,23.5,0.0,0.0,noVIPV,AUTUMN
48,public,23.5,3.0,7.5,noVIPV,AUTUMN
1,home,0.0,224.0,560.0,noVIPV,WINTER
1,work,0.0,1.0,2.5,noVIPV,WINTER
1,public,0.0,39.0,97.5,noVIPV,WINTER
2,home,0.5,113.0,282.5,noVIPV,WINTER
2,work,0.5,0.0,0.0,noVIPV,WINTER
2,public,0.5,24.0,60.0,noVIPV,WINTER
3,home,1.0,48.0,120.0,noVIPV,WINTER
3,work,1.0,0.0,0.0,noVIPV,WINTER
3,public,1.0,10.0,25.0,noVIPV,WINTER
4,home,1.5,17.0,42.5,noVIPV,WINTER
4,work,1.5,0.0,0.0,noVIPV,WINTER
4,public,1.5,7.0,17.5,noVIPV,WINTER
5,home,2.0,6.0,15.0,noVIPV,WINTER
5,work,2.0,0.0,0.0,noVIPV,WINTER
5,public,2.0,2.0,5.0,noVIPV,WINTER
6,home,2.5,0.0,0.0,noVIPV,WINTER
6,work,2.5,0.0,0.0,noVIPV,WINTER
6,public,2.5,0.0,0.0,noVIPV,WINTER
7,home,3.0,1.0,2.5,noVIPV,WINTER
7,work,3.0,0.0,0.0,noVIPV,WINTER
7,public,3.0,0.0,0.0,noVIPV,WINTER
8,home,3.5,0.0,0.0,noVIPV,WINTER
8,work,3.5,0.0,0.0,noVIPV,WINTER
8,public,3.5,0.0,0.0,noVIPV,WINTER
9,home,4.0,0.0,0.0,noVIPV,WINTER
9,work,4.0,5.0,12.5,noVIPV,WINTER
9,public,4.0,3.0,7.5,noVIPV,WINTER
10,home,4.5,0.0,0.0,noVIPV,WINTER
10,work,4.5,9.0,22.5,noVIPV,WINTER
10,public,4.5,8.0,20.0,noVIPV,WINTER
11,home,5.0,3.0,7.5,noVIPV,WINTER
11,work,5.0,39.0,97.5,noVIPV,WINTER
11,public,5.0,17.0,42.5,noVIPV,WINTER
12,home,5.5,1.0,2.5,noVIPV,WINTER
12,work,5.5,56.0,140.0,noVIPV,WINTER
12,public,5.5,16.0,40.0,noVIPV,WINTER
13,home,6.0,3.0,7.5,noVIPV,WINTER
13,work,6.0,111.0,277.5,noVIPV,WINTER
13,public,6.0,68.0,170.0,noVIPV,WINTER
14,home,6.5,5.0,12.5,noVIPV,WINTER
14,work,6.5,158.0,395.0,noVIPV,WINTER
14,public,6.5,87.0,217.5,noVIPV,WINTER
15,home,7.0,8.0,20.0,noVIPV,WINTER
15,work,7.0,350.0,875.0,noVIPV,WINTER
15,public,7.0,203.0,507.5,noVIPV,WINTER
16,home,7.5,12.0,30.0,noVIPV,WINTER
16,work,7.5,361.0,902.5,noVIPV,WINTER
16,public,7.5,272.0,680.0,noVIPV,WINTER
17,home,8.0,20.0,50.0,noVIPV,WINTER
17,work,8.0,210.0,525.0,noVIPV,WINTER
17,public,8.0,227.0,567.5,noVIPV,WINTER
18,home,8.5,50.0,125.0,noVIPV,WINTER
18,work,8.5,116.0,290.0,noVIPV,WINTER
18,public,8.5,199.0,497.5,noVIPV,WINTER
19,home,9.0,61.0,152.5,noVIPV,WINTER
19,work,9.0,51.0,127.5,noVIPV,WINTER
19,public,9.0,171.0,427.5,noVIPV,WINTER
