Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV80_Wp700,SUMMER,Morning,public,3645.4534722222224
VIPV80_Wp700,SUMMER,Afternoon,home,15135.074999999999
VIPV80_Wp700,SUMMER,Afternoon,work,960.6777777777778
VIPV80_Wp700,SUMMER,Afternoon,public,5250.092361111111
VIPV80_Wp700,SUMMER,Evening,home,22403.96041666667
VIPV80_Wp700,SUMMER,Evening,work,56.272222222222226
VIPV80_Wp700,SUMMER,Evening,public,2486.5
VIPV80_Wp700,AUTUMN,Night,home,15086.269444444444
VIPV80_Wp700,AUTUMN,Night,work,134.43958333333333
VIPV80_Wp700,AUTUMN,Night,public,1412.2361111111109
VIPV80_Wp700,AUTUMN,Morning,home,1787.6118055555557
VIPV80_Wp700,AUTUMN,Morning,work,4966.45
VIPV80_Wp700,AUTUMN,Morning,public,4099.951388888889
VIPV80_Wp700,AUTUMN,Afternoon,home,16904.190972222223
VIPV80_Wp700,AUTUMN,Afternoon,work,1047.8659722222224
VIPV80_Wp700,AUTUMN,Afternoon,public,5788.4847222222215
VIPV80_Wp700,AUTUMN,Evening,home,21452.367361111108
VIPV80_Wp700,AUTUMN,Evening,work,62.10694444444444
VIPV80_Wp700,AUTUMN,Evening,public,2229.897916666667
VIPV80_Wp700,WINTER,Night,home,11706.814583333333
VIPV80_Wp700,WINTER,Night,work,130.32430555555555
VIPV80_Wp700,WINTER,Night,public,800.692361111111
VIPV80_Wp700,WINTER,Morning,home,1839.2444444444445
VIPV80_Wp700,WINTER,Morning,work,5542.889583333334
VIPV80_Wp700,WINTER,Morning,public,4431.676388888889
VIPV80_Wp700,WINTER,Afternoon,home,16669.223611111112
VIPV80_Wp700,WINTER,Afternoon,work,1256.4291666666666
VIPV80_Wp700,WINTER,Afternoon,public,6071.5625
VIPV80_Wp700,WINTER,Evening,home,26038.355555555554
VIPV80_Wp700,WINTER,Evening,work,55.65416666666667
VIPV80_Wp700,WINTER,Evening,public,2976.873611111111
VIPV80_Wp1000,SPRING,Night,home,12448.085416666669
VIPV80_Wp1000,SPRING,Night,work,80.22152777777778
VIPV80_Wp1000,SPRING,Night,public,1118.1618055555557
VIPV80_Wp1000,SPRING,Morning,home,1524.7506944444444
VIPV80_Wp1000,SPRING,Morning,work,4569.325
VIPV80_Wp1000,SPRING,Morning,public,3388.877083333333
VIPV80_Wp1000,SPRING,Afternoon,home,13852.992361111112
VIPV80_Wp1000,SPRING,Afternoon,work,864.8520833333333
VIPV80_Wp1000,SPRING,Afternoon,public,4950.965277777778
VIPV80_Wp1000,SPRING,Evening,home,15200.158333333333
VIPV80_Wp1000,SPRING,Evening,work,43.35138888888889
