hour_of_day,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
6,PARKED_OPEN,1973.3456629199236,1750.4954607246511,222.85020230095196,VIPV50_Wp400,WINTER,50,400,128.57142857142856,253715.87094684728,225063.7020931694,28652.16886726525
7,DRIVING,9.591950975110935,9.574056900931247,0.01789407540485707,VIPV50_Wp400,WINTER,50,400,128.57142857142856,1233.25083965712,1230.9501729768745,2.3006668377673374
7,PARKED_OPEN,1271.2943699715436,1184.4326403226275,86.86172971922865,VIPV50_Wp400,WINTER,50,400,128.57142857142856,163452.13328205558,152284.19661290923,11167.93667818654
8,DRIVING,24.37838398833279,24.315963230345872,0.06242076326451499,VIPV50_Wp400,WINTER,50,400,128.57142857142856,3134.363655642787,3126.3381296158973,8.02552670543764
8,PARKED_OPEN,729.4615559609392,685.4313279284478,44.03022807050224,VIPV50_Wp400,WINTER,50,400,128.57142857142856,93787.91433783503,88126.88501937185,5661.029323350287
9,DRIVING,37.69606435999933,37.617290770409745,0.07877359222036914,VIPV50_Wp400,WINTER,50,400,128.57142857142856,4846.636846285628,4836.508813338395,10.12803328547603
9,PARKED_OPEN,394.77416008949683,374.76568272055914,20.008477382854423,VIPV50_Wp400,WINTER,50,400,128.57142857142856,50756.67772579244,48184.15920692903,2572.5185206527112
10,DRIVING,64.81234280266632,64.6822786920543,0.1300641108754137,VIPV50_Wp400,WINTER,50,400,128.57142857142856,8333.015503199955,8316.292974692695,16.722528541124618
10,PARKED_OPEN,446.78814711678655,429.4063978055291,17.381749324380074,VIPV50_Wp400,WINTER,50,400,128.57142857142856,57444.19034358684,55209.39400356802,2234.796341706009
11,DRIVING,81.88742009666646,81.7365218051355,0.15089829194565904,VIPV50_Wp400,WINTER,50,400,128.57142857142856,10528.382583857116,10508.981374945992,19.401208964441874
11,PARKED_OPEN,429.9446540987361,415.6459990943241,14.298655025266301,VIPV50_Wp400,WINTER,50,400,128.57142857142856,55278.59838412321,53440.19988355595,1838.398503248524
12,DRIVING,78.89674299188815,78.79011891857219,0.1066240780405046,VIPV50_Wp400,WINTER,50,400,128.57142857142856,10143.866956099902,10130.158146673566,13.70881003377916
12,PARKED_OPEN,356.0791034002103,346.6876053646532,9.391498060188276,VIPV50_Wp400,WINTER,50,400,128.57142857142856,45781.59900859846,44574.120689741125,1207.4783220242068
13,DRIVING,57.339801039332826,57.271266429736954,0.06853461367856843,VIPV50_Wp400,WINTER,50,400,128.57142857142856,7372.260133628505,7363.448540966179,8.811593187244512
